"profile_id","housewife_name","sf_id","drama_score","feuds","key_moments","talking_points","confessional_draft","show","season","franchise","episode_title","source_url","video_id","raw_file","enriched_at","sf_contact_name","sf_email","sf_contact_status"
"sutton-stracke__real-housewives-of-beverly-hills__s11__episode-21","Sutton Stracke","003Hs00007ZzKsfIAF","48","Dorit Kemsley: Accused of being passive-aggressive and throwing 'darts' rather than being direct
Kyle Richards: Jokingly accused of nearly burning down Kyle's Bel Air house via fireplace","Revealed she moved into her new house just last week after a long journey house-hunting
Accused by Kyle of almost burning down her Bel Air rental house: 'she did almost burn my house down'
Defended herself insisting it wasn't her fault: 'I just turned the fireplace on'
Caught in the middle of the passive-aggressive debate with Dorit, struggling to respond to the 'throwing darts' accusation","Address the fireplace incident head-on — own it with humor but make clear it was an accident
Clarify your communication style: you're learning to be more direct, but 'throwing darts' is a mischaracterization
Celebrate your new house milestone — this is your redemption arc after a crazy housing journey
Push back on Dorit's double standard: she wants directness but calls it bullying when she gets it
Remind viewers you committed to repairing any damage — you're accountable","I moved into my dream home last week and I am THRIVING — so forgive me if I'm not going to let a fireplace mishap or Dorit's little commentary dim my shine. I turned on a fireplace, I didn't burn anything down, and frankly, the house is still standing in Bel Air, so let's all just calm down. If wanting to say what I feel makes me a 'dart-thrower,' then honey, consider this my quiver.","Real Housewives of Beverly Hills","11","Beverly Hills","Episode 21","https://youtu.be/WNfX1Ti9ZF4?si=A1eiODchUx3F6qPd","WNfX1Ti9ZF4","real-housewives-of-beverly-hills-s11-episode-21-1776899581658.json","2026-04-22T23:14:01.335273+00:00","Sutton Stracke","sutton.stracke@example.com","Existing (Updated)"
"kyle-richards__real-housewives-of-beverly-hills__s11__episode-21","Kyle Richards","003Hs00007ZzKskIAF","42","Sutton Stracke: Playfully but pointedly accused Sutton of nearly burning down her Bel Air rental home","Revealed the fireplace incident at her Bel Air house while Sutton was renting it: 'she did almost burn my house down'
Explained there was no security deposit because Sutton was only supposed to stay one month
Noted the Bel Air house is currently off the market due to necessary repairs
Laughed off the situation but made clear there are real consequences: 'we have to do some repairs right now'","Be clear about the timeline — Sutton stayed nearly a year, not the one month originally agreed upon
Address the no-security-deposit decision and whether you regret it
Keep the tone light on the fireplace story — this is fun reunion content, not a real feud
Speak to the status of the Bel Air house and the repairs needed
Position yourself as the gracious friend-landlord who is handling it with class","Look, I love Sutton, and I was happy to have her in my home — but when they tell me the fireplace nearly took the whole place down, I need a moment. There was no security deposit because she was supposed to be there one month, not almost a year, so I'm just going to smile and trust that she'll make it right. That's what friends do.","Real Housewives of Beverly Hills","11","Beverly Hills","Episode 21","https://youtu.be/WNfX1Ti9ZF4?si=A1eiODchUx3F6qPd","WNfX1Ti9ZF4","real-housewives-of-beverly-hills-s11-episode-21-1776899581658.json","2026-04-22T23:14:01.335273+00:00","Kyle Richards","kyle.richards@example.com","Existing (Updated)"
"garcelle-beauvais__real-housewives-of-beverly-hills__s11__episode-21","Garcelle Beauvais","003Hs00007ZzKsQIAV","55","Dorit Kemsley: Called out for passive-aggressive comment jabs and accused of not being direct to Dorit's face
Lisa Rinna: Referenced tensions addressed during the reunion","Defended her communication style against Dorit's 'throwing darts' accusation
Pushed back on the idea that passive-aggressive jabs and directness are the same thing: 'throwing darts is not being direct, Andy'
Sided with Sutton during the Dorit confrontation, saying 'you want her to be direct but then you accuse her of throwing darts'
Addressed tensions with Lisa Rinna during the reunion","Distinguish clearly between passive aggression and directness — you believe they are two different things
Own that you've made comments in the background or on social media but frame it as your truth
Acknowledge any apologies that have been issued and whether you've truly moved on
Speak to your ongoing tension with Lisa Rinna and what that relationship looks like now
Remind the group that growth is a two-way street — you're willing if they are","Everyone wants me to be direct, but the moment I open my mouth, suddenly I'm throwing darts — so which is it? I've said what I've said because I meant it, and I'll stand behind every word. If that makes people uncomfortable, maybe they should ask themselves why the truth stings so much.","Real Housewives of Beverly Hills","11","Beverly Hills","Episode 21","https://youtu.be/WNfX1Ti9ZF4?si=A1eiODchUx3F6qPd","WNfX1Ti9ZF4","real-housewives-of-beverly-hills-s11-episode-21-1776899581658.json","2026-04-22T23:14:01.335273+00:00","Garcelle Beauvais","garcelle.beauvais@example.com","Existing (Updated)"
"dorit-kemsley__real-housewives-of-beverly-hills__s11__episode-21","Dorit Kemsley","003Hs00007ZzKsVIAV","52","Garcelle Beauvais: Accused Garcelle of passive-aggressive 'dart throwing' instead of direct confrontation
Sutton Stracke: Caught in broader group tension about communication styles and accusations of bullying","Confronted Garcelle for making comments 'in the comments' rather than to her face: 'you don't say much when we're together or to someone's face and then you'll say it in the comments'
Drew a distinction between wanting directness versus passive-aggressive jabs: 'I want her to be direct, I don't want her to throw darts'
Referenced prior accusations of being a bully that she had already apologized for
Snapped back defensively: 'don't you tell me to do anything'","Clarify the difference between the directness you want and the passive aggression you're calling out
Stand firm that the bully accusation was addressed and apologized for — it should not be re-litigated
Be prepared to defend your own communication style under scrutiny
Acknowledge that no one in this group communicates perfectly — including yourself
Don't let anyone redirect the conversation away from the original dart-throwing incident","I have said from day one: come to me directly, look me in the eye, and say what you have to say — that's all I've ever asked. Making little comments with a smile on your face and calling it 'honesty' is not directness, it's a performance. I'm done being the target of jabs that nobody has the courage to say to my face.","Real Housewives of Beverly Hills","11","Beverly Hills","Episode 21","https://youtu.be/WNfX1Ti9ZF4?si=A1eiODchUx3F6qPd","WNfX1Ti9ZF4","real-housewives-of-beverly-hills-s11-episode-21-1776899581658.json","2026-04-22T23:14:01.335273+00:00","Dorit Kemsley","dorit.kemsley@example.com","Existing (Updated)"
"kathy-hilton__real-housewives-of-beverly-hills__s11__episode-21","Kathy Hilton","003Hs00007ZzKsgIAF","38","","Made her grand entrance to the reunion stage as a first-time main cast member in Season 11
Arrived with written notes ('receipts') prepared to address topics
Seemed genuinely unaware of what a boutonniere is, generating comedic confusion: 'what's a boot name?'
Expressed disbelief at being at the reunion: 'I really don't feel like it's real'
Revealed Kyle pushed her to join the cast: 'I pushed her'","Lean into the humor of coming prepared with notes — own it as being thorough, not defensive
Address why it took 11 seasons to join as a main cast member
Credit Kyle for encouraging you to join while maintaining your own identity separate from her
Be ready for questions about how being on camera full-time differs from occasional appearances
Use your wit and warmth to disarm — you're new to this format but not new to this world","I have been watching this show for eleven years and I came prepared — I have notes, I have receipts, and I have a lot to say. People think because I'm new to the couch that I don't know how this works, but darling, I've been in this family the whole time. Nobody is more ready for this reunion than me.","Real Housewives of Beverly Hills","11","Beverly Hills","Episode 21","https://youtu.be/WNfX1Ti9ZF4?si=A1eiODchUx3F6qPd","WNfX1Ti9ZF4","real-housewives-of-beverly-hills-s11-episode-21-1776899581658.json","2026-04-22T23:14:01.335273+00:00","Kathy Hilton","kathy.hilton@example.com","Existing (Updated)"
"erika-girardi__real-housewives-of-beverly-hills__s11__episode-21","Erika Girardi","003Hs00007ZzLKkIAN","35","","Present at the reunion; minimal direct dialogue captured in this transcript segment","Be prepared to address ongoing legal and public scrutiny surrounding Tom Girardi
Maintain composure — your body language and reactions will be scrutinized as much as your words
Decide in advance which topics you will engage with directly and which you will decline to comment on
Be ready to respond to questions from cast members who have expressed skepticism or criticism
Frame your narrative around personal strength and moving forward","I have sat in this chair and I have answered every question thrown at me, and I will keep doing that — because I have nothing to hide. This season has been the hardest of my life, and I'm still here, still standing, and I'm not going anywhere.","Real Housewives of Beverly Hills","11","Beverly Hills","Episode 21","https://youtu.be/WNfX1Ti9ZF4?si=A1eiODchUx3F6qPd","WNfX1Ti9ZF4","real-housewives-of-beverly-hills-s11-episode-21-1776899581658.json","2026-04-22T23:14:01.335273+00:00","Erika Jayne Girardi","erika.jayne.girardi@example.com","New"
"lisa-rinna__real-housewives-of-beverly-hills__s11__episode-21","Lisa Rinna","003Hs00007ZzLLOIA3","40","Garcelle Beauvais: Referenced tensions addressed during the reunion","Referenced as part of Garcelle's tension arc during the reunion
Minimal direct dialogue captured in this transcript segment","Address the Garcelle tension directly and explain your perspective on how it escalated
Be ready to defend your style of confrontation — you are known for going hard and standing your ground
Acknowledge moments this season where you may have pushed too far
Speak to your loyalty to the women you're close with and why that sometimes creates conflict
Don't let the Garcelle narrative overshadow your other storylines this season","I say what I mean and I mean what I say — always have, always will. If that creates tension, then maybe we should ask why people are so afraid of someone who doesn't sugarcoat the truth. Garcelle and I have our issues, but at least we know where we stand.","Real Housewives of Beverly Hills","11","Beverly Hills","Episode 21","https://youtu.be/WNfX1Ti9ZF4?si=A1eiODchUx3F6qPd","WNfX1Ti9ZF4","real-housewives-of-beverly-hills-s11-episode-21-1776899581658.json","2026-04-22T23:14:01.335273+00:00","Lisa Rinna","lisa.rinna@example.com","New"
"crystal-kung-minkoff__real-housewives-of-beverly-hills__s11__episode-21","Crystal Kung Minkoff","003Hs00007ZzLKQIA3","28","","Present at the reunion; minimal direct dialogue captured in this transcript segment","Address your first full season as a Housewife and what you've learned about navigating the group
Be ready to discuss any storylines involving your family, background, or relationships with cast members
Speak to how you handle conflict differently than more veteran cast members
Clarify any moments this season where you felt misunderstood or misrepresented
Use the reunion to establish your voice more firmly — you're building your identity on this show","Coming into this group as a new face, I knew I'd have to earn my place — and I feel like this season I've done exactly that. I don't come to fight, but I do come with my eyes open, and nothing I've seen this year has surprised me as much as people might think. I'm just getting started.","Real Housewives of Beverly Hills","11","Beverly Hills","Episode 21","https://youtu.be/WNfX1Ti9ZF4?si=A1eiODchUx3F6qPd","WNfX1Ti9ZF4","real-housewives-of-beverly-hills-s11-episode-21-1776899581658.json","2026-04-22T23:14:01.335273+00:00","Crystal Kung Minkoff","crystal.kung.minkoff@example.com","New"
"erika-girardi__real-housewives-of-beverly-hills__s11__reunion","Erika Girardi","003Hs00007ZzLKkIAN","95","Kyle Richards: tension over Erika's narrative control and alleged knowledge of Tom's misconduct
Sutton Stracke: confrontation over Erika calling Sutton a liar and Sutton pushing back on Tom Girardi's victims
Garcelle Beauvais: underlying tension over Erika's credibility and deflection
Lisa Rinna: surface alliance but scrutiny over Erika's handling of the situation","Challenged on whether she knew about Tom Girardi's fraudulent activities: 'I can't control what Tom Girardi did'
Pressed on why she didn't leave Tom sooner: 'Where was I going?'
Confronted about $20 million deposited into her account while Tom had affairs: 'He put 20 million dollars and more into your account'
Asked directly if she asked Tom whether he did it, responded: 'I asked him' — followed by emotional music sting
Challenged over manipulating the narrative about Tom's cognitive decline timeline: 'You were manipulating the narrative by saying that the cognitive decline started three years ago — that's not true'
Defiant declaration: 'The moment you call me a liar it's game on'","Maintain that you had no knowledge of Tom's financial crimes and could not control his actions
Address the $20 million account question head-on — frame it as marital finances, not complicity
Push back on the cognitive decline timeline allegation — clarify your public statements were not manipulative
Acknowledge the victims' pain while defending your own position as also a victim of Tom's deception
Be prepared for the 'why didn't you leave sooner?' question — have a clear, emotionally grounded answer ready","Everyone keeps asking me what I knew and when I knew it — but nobody wants to hear the truth, they just want a villain. I did not know what Tom was doing, and no amount of bullying from these women is going to make me confess to something I didn't do. The moment you call me a liar, it's game on — and honey, I've been in the game a long time.","Real Housewives of Beverly Hills","11","Beverly Hills","Reunion","https://youtu.be/zNtNTpCVCbE?si=nQLNBSVntcSDZogl","zNtNTpCVCbE","real-housewives-of-beverly-hills-s11-reunion-1776899902726.json","2026-04-22T23:19:21.601932+00:00","Erika Jayne Girardi","erika.jayne.girardi@example.com","New"
"kyle-richards__real-housewives-of-beverly-hills__s11__reunion","Kyle Richards","003Hs00007ZzKskIAF","62","Erika Girardi: skepticism over Erika's story and narrative control
Kathy Hilton: subtle family tension underlying the reunion dynamic","Referenced a private phone call to one of the women: 'Remember when you called me and you said these girls have flipped on you — well, that'll come up for the reunion, get ready'
Positioned as a key information broker between cast members regarding shifting alliances","Own your role as the messenger — you were relaying information, not stirring the pot
Clarify where you stand on Erika's situation: sympathetic but skeptical
Address the phone call allegation directly and explain the context
Navigate the Kathy dynamic carefully — she's your sister, but you're also an independent voice on this show
Position yourself as the moral compass of the group without coming across as self-righteous","I've been on this show long enough to know when someone is working a room, and I'd be lying if I said I didn't have questions about Erika's story. I care about her as a friend, but I also care about the truth. And yes, I made that phone call — because that's what friends do, they give you a heads up.","Real Housewives of Beverly Hills","11","Beverly Hills","Reunion","https://youtu.be/zNtNTpCVCbE?si=nQLNBSVntcSDZogl","zNtNTpCVCbE","real-housewives-of-beverly-hills-s11-reunion-1776899902726.json","2026-04-22T23:19:21.601932+00:00","Kyle Richards","kyle.richards@example.com","Existing (Updated)"
